statid;timeobs (UTC);vindretning (°);label
0° is quiet, 360° is wind from north, 90° is wind from east etc.
612300;2009020113;74;1100
612300;2009020114;75;1100
612300;2009020115;78.4;1000
612300;2009020116;84;1100
612300;2009020117;83;1100
612300;2009020118;80.8;1000
612300;2009020119;78;1100
612300;2009020120;83;1100
612300;2009020121;87;1000
612300;2009020122;83;1100
612300;2009020123;84;1100
612300;2009020200;88.8;1000
612300;2009020201;81;1100
612300;2009020202;83;1100
612300;2009020203;93;1100
612300;2009020204;92.1;1000
612300;2009020205;106;1100
612300;2009020206;94.1;1000
612300;2009020207;103;1100
612300;2009020208;106;1100
612300;2009020209;95;1000
612300;2009020210;118;1100
612300;2009020211;115;1100
612300;2009020212;95.4;1000
612300;2009020213;100;1100
612300;2009020214;100;1100
612300;2009020215;95.5;1000
612300;2009020216;92.3;1000
612300;2009020217;100;1100
612300;2009020218;89.3;1000
612300;2009020219;96;1100
612300;2009020220;90.9;1000
612300;2009020221;98;1100
612300;2009020222;100;1100
612300;2009020223;96.2;1000
612300;2009020300;96.1;1000
612300;2009020301;93.1;1000
612300;2009020302;103;1100
612300;2009020303;97.7;1000
612300;2009020304;101.1;1000
612300;2009020305;109;1100
612300;2009020306;100.5;1000
612300;2009020307;106;1100
612300;2009020308;109;1100
612300;2009020309;109;1100
612300;2009020310;113;1100
612300;2009020311;113;1100
612300;2009020312;110;1100
612300;2009020313;111;1100
612300;2009020314;115;1100
612300;2009020315;110;1100
612300;2009020316;118;1100
612300;2009020317;112;1100
612300;2009020318;111;1100
612300;2009020319;111;1100
612300;2009020320;109;1100
612300;2009020321;112;1100
612300;2009020322;114;1100
612300;2009020323;106;1100
612300;2009020400;114;1100
612300;2009020401;120;1100
612300;2009020402;112;1100
612300;2009020403;109;1100
612300;2009020404;116;1100
612300;2009020405;128;1100
612300;2009020406;133;1100
612300;2009020407;134;1100
612300;2009020408;134;1100
612300;2009020409;168;1100
612300;2009020410;174;1100
612300;2009020411;186;1100
612300;2009020412;174;1100
612300;2009020413;180;1100
612300;2009020414;185;1100
612300;2009020415;181;1100
612300;2009020416;190;1100
612300;2009020417;191;1100
612300;2009020418;198;1100
612300;2009020419;206;1100
612300;2009020420;214;1100
612300;2009020421;224;1100
612300;2009020422;226;1100
612300;2009020423;238;1100
612300;2009020500;277;1100
612300;2009020501;74;1100
612300;2009020502;126;1100
612300;2009020503;123;1100
612300;2009020504;101;1100
612300;2009020505;126;1100
